week,week_start,product,channel,spend_inr,impressions
W8,2026-06-19,Recycled Runner - Navy,Influencer,28912,231296
W8,2026-06-19,Wool Blend Sneaker - Charcoal,Google Ads,26094,234846
W8,2026-06-19,Kids Comfort Shoe - Blue,Google Ads,23454,281448
W9,2026-06-26,Cloud Sneaker - Grey,Email,5490,65880
W9,2026-06-26,Cloud Sneaker - Black,Email,18580,148640
W9,2026-06-26,Trail Runner - Olive,Google Ads,27058,270580
W9,2026-06-26,Classic Slip-On - White,Meta Ads,29332,322652
W9,2026-06-26,Everyday Loafer - Tan,Influencer,19305,154440
W9,2026-06-26,Recycled Runner - Navy,Meta Ads,22193,199737
W9,2026-06-26,Wool Blend Sneaker - Charcoal,Influencer,18438,221256
W9,2026-06-26,Kids Comfort Shoe - Blue,Email,25367,228303
W10,2026-07-03,Cloud Sneaker - Grey,Email,17165,137320
W10,2026-07-03,Cloud Sneaker - Black,Email,18751,150008
W10,2026-07-03,Trail Runner - Olive,Meta Ads,26972,215776
W10,2026-07-03,Classic Slip-On - White,Influencer,20133,201330
W10,2026-07-03,Everyday Loafer - Tan,Email,17246,155214
W10,2026-07-03,Recycled Runner - Navy,Google Ads,25511,204088
W10,2026-07-03,Wool Blend Sneaker - Charcoal,Meta Ads,23691,284292
W10,2026-07-03,Kids Comfort Shoe - Blue,Google Ads,25649,282139
W11,2026-07-10,Cloud Sneaker - Grey,Google Ads,21092,210920
W11,2026-07-10,Cloud Sneaker - Black,Meta Ads,27008,216064
W11,2026-07-10,Trail Runner - Olive,Email,20488,204880
W11,2026-07-10,Classic Slip-On - White,Meta Ads,23582,235820
W11,2026-07-10,Everyday Loafer - Tan,Meta Ads,26670,293370
W11,2026-07-10,Recycled Runner - Navy,Influencer,22457,179656
W11,2026-07-10,Wool Blend Sneaker - Charcoal,Google Ads,23185,231850
W11,2026-07-10,Kids Comfort Shoe - Blue,Influencer,17577,140616
W12,2026-07-17,Cloud Sneaker - Grey,Google Ads,20870,229570
W12,2026-07-17,Cloud Sneaker - Black,Email,20051,200510
W12,2026-07-17,Trail Runner - Olive,Meta Ads,28967,231736
W12,2026-07-17,Classic Slip-On - White,Influencer,17582,210984
W12,2026-07-17,Everyday Loafer - Tan,Google Ads,15660,156600
W12,2026-07-17,Recycled Runner - Navy,Meta Ads,17430,156870
W12,2026-07-17,Wool Blend Sneaker - Charcoal,Email,20828,249936
W12,2026-07-17,Kids Comfort Shoe - Blue,Influencer,15802,158020
